Index	Node Name	Node ID	Target Class	In Degree Rank	Out Degree Rank	Total Degree Rank	Betweenness Rank	Bridging Coeff Rank	TDE Rank	Bridging Centrality Rank	Closeness Centrality Rank	Undirected Clustering Coeff Rank	In Clustering Coeff Rank	Out Clustering Coeff Rank	Cycle Clustering Coeff Rank	Middleman Clustering Coeff Rank	Eigenvector Centrality Rank	Proximity Prestige Rank	Eccentricity Centrality Rank
27		RasGTP_depal_cyt	0	0.571428571	0.714285714	0.5	0.321428571	0.4375	0.764705882	0.387096774	0.517241379	0.545454545	1	1	1	1	0.205128205	0.5	0.666666667
35		Sos_cyt	0	0.857142857	1	0.9	1	0.625	0.176470588	0.870967742	1	0.090909091	1	1	1	1	0.897435897	0.892857143	1
22		Ca_RasGRP_GM_GM	0	0.857142857	0.857142857	0.8	0.857142857	0.1875	0.647058824	0.419354839	0.655172414	0.363636364	1	1	1	1	0.358974359	0.607142857	0.666666667
31		Ras_CaPLCe_GM	0	0.857142857	0.857142857	0.8	0.214285714	0.3125	0.647058824	0.161290323	0.137931034	0.454545455	1	1	1	1	0.58974359	0.107142857	0.666666667
15		Activated_EGFR_PM	1	0.714285714	0.571428571	0.5	0.642857143	0.0625	0.117647059	0.064516129	0.413793103	0.818181818	1	1	1	1	0.564102564	0.964285714	0.333333333
38		buffer_cyt	0	0.857142857	1	0.9	1	0.625	0.588235294	0.870967742	0.620689655	0.090909091	1	1	1	1	0.769230769	0.571428571	1
24		RasGRP_DAG_GM	0	0.857142857	0.857142857	0.8	0.607142857	0.3125	0.647058824	0.451612903	0.413793103	0.454545455	1	1	1	1	0.512820513	0.392857143	0.666666667
13		PLC_PM	0	0.714285714	0.857142857	0.7	0.928571429	0.75	0.411764706	0.903225806	0.689655172	0.090909091	1	1	1	1	0.846153846	0.928571429	0.333333333
28		RasGDP_depal_cyt	0	0.571428571	0.714285714	0.5	0.821428571	0.4375	0.764705882	0.709677419	0.793103448	0.545454545	1	1	1	1	0.153846154	0.678571429	1
25		CaCAPRI_cyt	0	0.714285714	0.857142857	0.7	0.428571429	0.5625	0.705882353	0.548387097	0.275862069	0.363636364	1	1	1	1	0.307692308	0.25	0.333333333
34		Ca_ER	0	0.571428571	0.714285714	0.5	0.892857143	1	0.764705882	0.967741935	0.206896552	0.181818182	0.6	0.6	0.6	0.6	0.230769231	0.178571429	0.666666667
45		CaRasGRP1_cyt	0	0.714285714	0.857142857	0.7	0.75	0.5625	0.705882353	0.774193548	0.413793103	0.363636364	1	1	1	1	0.384615385	0.392857143	1
20		IP3	0	0.571428571	0.571428571	0.4	0.107142857	0.5	0.823529412	0.129032258	0.034482759	0.727272727	1	1	1	1	0.282051282	0.035714286	0.333333333
