Index	Node_ID	Node_Name	Target_Class	In_Degree_Rank	Out_Degree_Rank	Total_Degree_Rank	Betweenness_Rank	Bridging_Coeff_Rank	TDE_Rank	Bridging_Centrality_Rank	Closeness_Rank	Undirected_Clustering_Coefficient_Rank	In_Clustering_Coefficient_Rank	Out_Clustering_Coefficient_Rank	Cycle_Clustering_Coefficient_Rank	Middleman_Clustering_Coefficient_Rank	Eigenvector_Rank	Proximity_Prestige_Rank	Eccentricity_Rank
24	DAG_GM_GM		 	0.6666666666666666	0.7142857142857143	0.2	0.1935483870967742	0.3888888888888889	0.2777777777777778	0.4117647058823529	0.23333333333333334	0.5	0.42857142857142855	0.42857142857142855	0.42857142857142855	0.42857142857142855	0.65	0.21875	0.75
26	CaCAPRI_cyt		 	0.7777777777777778	0.8571428571428571	0.4	0.3548387096774194	0.5555555555555556	0.3333333333333333	0.7058823529411765	0.3	0.4166666666666667	0.42857142857142855	0.42857142857142855	0.42857142857142855	0.42857142857142855	0.35	0.25	0.5
31	Ca_PLCe_cyt		 	0.7777777777777778	0.8571428571428571	0.4	0.9354838709677419	0.6666666666666666	0.3333333333333333	0.6176470588235294	0.23333333333333334	0.5	0.42857142857142855	0.42857142857142855	0.42857142857142855	0.42857142857142855	0.475	0.1875	0.75
7	Shc_PM		 	0.7777777777777778	0.8571428571428571	0.4	0.6451612903225806	0.7777777777777778	0.7222222222222222	0.20588235294117646	0.8333333333333334	0.16666666666666666	1.0	1.0	1.0	1.0	0.7	0.875	0.75
8	CaCAPRI_PM_PM		 	0.8888888888888888	0.8571428571428571	0.5	0.5806451612903226	0.2222222222222222	0.3888888888888889	0.5882352941176471	0.5	0.4166666666666667	0.42857142857142855	0.42857142857142855	0.42857142857142855	0.42857142857142855	0.3	0.4375	0.75
44	RasGDP_PM		 	0.4444444444444444	0.42857142857142855	0.9	0.41935483870967744	0.6111111111111112	0.16666666666666666	0.7941176470588235	0.6333333333333333	0.6666666666666666	0.42857142857142855	0.42857142857142855	0.42857142857142855	0.42857142857142855	0.125	0.59375	1.0
9	RactCa		 	0.8888888888888888	0.8571428571428571	0.5	0.967741935483871	0.8333333333333334	0.3888888888888889	0.08823529411764706	0.26666666666666666	0.16666666666666666	0.5714285714285714	0.5714285714285714	0.5714285714285714	0.5714285714285714	0.5	0.28125	0.75
34	ER_erMembrane		 	1.0	0.7142857142857143	0.5	1.0	0.2777777777777778	0.5	0.8529411764705882	0.23333333333333334	0.25	1.0	1.0	1.0	1.0	0.275	1.0	0.75
45	RasGRP_cyt		 	0.7777777777777778	0.8571428571428571	0.4	0.4838709677419355	0.6666666666666666	0.3333333333333333	0.8823529411764706	0.4	0.5	0.42857142857142855	0.42857142857142855	0.42857142857142855	0.42857142857142855	0.575	0.3125	1.0
12	PLC_act_PM		 	0.7777777777777778	0.7142857142857143	0.3	0.3870967741935484	0.4444444444444444	0.5555555555555556	0.5588235294117647	0.13333333333333333	0.5	0.42857142857142855	0.42857142857142855	0.42857142857142855	0.42857142857142855	0.675	0.9375	0.5
18	Ract		 	0.8888888888888888	0.8571428571428571	0.5	0.967741935483871	0.8333333333333334	0.3888888888888889	0.08823529411764706	0.26666666666666666	0.16666666666666666	0.2857142857142857	0.2857142857142857	0.2857142857142857	0.2857142857142857	0.5	0.28125	0.75
28	RasGTP_depal_cyt		 	0.6666666666666666	0.7142857142857143	0.2	0.25806451612903225	0.4444444444444444	0.2777777777777778	0.47058823529411764	0.5333333333333333	0.5833333333333334	0.42857142857142855	0.42857142857142855	0.42857142857142855	0.42857142857142855	0.25	0.46875	0.75
39	buffer_cyt		 	0.8888888888888888	1.0	0.6	1.0	0.6666666666666666	0.4444444444444444	0.14705882352941177	0.6333333333333333	0.16666666666666666	1.0	1.0	1.0	1.0	0.8	0.6875	1.0
20	RinhCa		 	0.8888888888888888	0.8571428571428571	0.5	0.967741935483871	0.8333333333333334	0.3888888888888889	0.08823529411764706	0.26666666666666666	0.16666666666666666	0.5714285714285714	0.5714285714285714	0.5714285714285714	0.5714285714285714	0.5	0.28125	0.75
16	Activated_EGFR_PM		 	0.7777777777777778	0.5714285714285714	0.2	0.5483870967741935	0.1111111111111111	0.8888888888888888	0.5	0.43333333333333335	0.8333333333333334	0.42857142857142855	0.42857142857142855	0.42857142857142855	0.42857142857142855	0.6	0.96875	0.5
13	RasGTP_pal_cyt		 	0.6666666666666666	0.7142857142857143	0.2	0.22580645161290322	0.4444444444444444	0.2777777777777778	0.4411764705882353	0.5333333333333333	0.5833333333333334	0.42857142857142855	0.42857142857142855	0.42857142857142855	0.42857142857142855	0.225	0.46875	0.75
29	RasGDP_depal_cyt		 	0.6666666666666666	0.7142857142857143	0.2	0.8387096774193549	0.4444444444444444	0.2777777777777778	0.17647058823529413	0.8	0.5833333333333334	0.42857142857142855	0.42857142857142855	0.42857142857142855	0.42857142857142855	0.2	0.71875	1.0
17	Ca		 	0.1111111111111111	0.14285714285714285	0.7	0.6774193548387096	0.8888888888888888	0.05555555555555555	0.38235294117647056	0.1	1.0	0.8571428571428571	0.8571428571428571	0.8571428571428571	0.8571428571428571	0.075	0.09375	0.75
32	Ras_CaPLCe_GM		 	0.8888888888888888	0.8571428571428571	0.5	0.12903225806451613	0.3333333333333333	0.3888888888888889	0.3235294117647059	0.16666666666666666	0.5	0.42857142857142855	0.42857142857142855	0.42857142857142855	0.42857142857142855	0.625	0.125	0.75
25	RasGRP_DAG_GM		 	0.8888888888888888	0.8571428571428571	0.5	0.5161290322580645	0.3333333333333333	0.3888888888888889	0.6470588235294118	0.43333333333333335	0.5	0.42857142857142855	0.42857142857142855	0.42857142857142855	0.42857142857142855	0.55	0.34375	0.75
1	RasGTP_Golgi_GM		 	0.3333333333333333	0.2857142857142857	0.8	0.8709677419354839	0.6111111111111112	0.1111111111111111	0.29411764705882354	0.2	0.9166666666666666	0.42857142857142855	0.42857142857142855	0.42857142857142855	0.42857142857142855	0.1	0.15625	0.5
35	Ca_ER		 	0.6666666666666666	0.7142857142857143	0.2	0.7096774193548387	1.0	0.2777777777777778	1.0	0.23333333333333334	0.25	0.7142857142857143	0.7142857142857143	0.7142857142857143	0.7142857142857143	0.275	0.28125	0.75
22	RasGDP_Golgi_GM		 	0.4444444444444444	0.42857142857142855	0.9	0.2903225806451613	0.6111111111111112	0.16666666666666666	0.7352941176470589	0.7	0.6666666666666666	0.42857142857142855	0.42857142857142855	0.42857142857142855	0.42857142857142855	0.175	0.625	0.75
10	Shc_star_PM		 	0.6666666666666666	0.7142857142857143	0.2	0.45161290322580644	0.7222222222222222	0.6666666666666666	0.9705882352941176	0.7333333333333333	0.5	0.42857142857142855	0.42857142857142855	0.42857142857142855	0.42857142857142855	0.375	0.8125	0.5
23	Ca_RasGRP_GM_GM		 	0.8888888888888888	0.8571428571428571	0.5	0.0967741935483871	0.2222222222222222	0.3888888888888889	0.2647058823529412	0.6666666666666666	0.4166666666666667	0.42857142857142855	0.42857142857142855	0.42857142857142855	0.42857142857142855	0.4	0.65625	0.75
38	PLCe_cyt		 	0.8888888888888888	1.0	0.6	1.0	0.6666666666666666	0.4444444444444444	0.14705882352941177	0.5	0.16666666666666666	1.0	1.0	1.0	1.0	0.825	0.5625	1.0
46	CaRasGRP1_cyt		 	0.7777777777777778	0.8571428571428571	0.4	0.7419354838709677	0.5555555555555556	0.3333333333333333	0.058823529411764705	0.43333333333333335	0.4166666666666667	0.42857142857142855	0.42857142857142855	0.42857142857142855	0.42857142857142855	0.425	0.40625	1.0
